year,weekofyear,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,months,total_cases
1990,18,12.42,297.57285714299996,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,4,4
1990,19,22.82,298.211428571,298.44285714299997,293.951428571,300.9,296.4,17.94,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.6,5,5
1990,20,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.4857142857099985,32.2,22.8,41.4,5,4
1990,21,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,4.0,5,3
1990,22,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,5,6
1990,23,9.58,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,6,2
1990,24,3.48,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,6,4
1990,25,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,6,5
1990,26,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,21.1,6,10
1990,27,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1.1,7,6
1990,28,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,7,8
1990,29,59.17,299.667142857,299.75,296.33428571400003,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,7,2
1990,30,16.48,299.55857142900004,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.35714285714,31.7,22.8,32.6,7,6
1990,31,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.58428571430001,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,7,17
1990,32,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4,8,23
1990,33,90.75,299.958571429,299.957142857,297.035714286,302.6,298.5,101.9,84.1785714286,90.75,18.5157142857,1.85714285714,28.0428571429,6.68571428571,32.8,22.8,44.7,8,13
1990,34,32.4,300.332857143,300.414285714,296.728571429,302.5,298.1,25.9,80.9471428571,32.4,18.1742857143,2.48571428571,28.342857142899998,7.014285714289999,33.3,23.3,5.4,8,21
1990,35,40.94,300.11857142900004,300.221428571,297.017142857,302.2,298.7,39.8,83.3485714286,40.94,18.5157142857,1.9,28.657142857100002,6.52857142857,32.2,24.4,13.7,8,28
1990,36,28.86,300.53,300.635714286,296.11714285700003,303.8,298.0,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.614285714289999,32.8,23.3,14.2,9,24
1990,37,64.56,300.674285714,300.792857143,297.19285714299997,302.9,299.0,24.18,81.55142857140001,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,9,20
1990,38,143.73,299.857142857,299.9,296.43142857099997,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.114285714289997,32.8,23.9,3.3,9,40
1990,39,51.39,300.42714285700004,300.6,296.028571429,302.4,299.1,16.4,77.0485714286,51.39,17.4685714286,2.2571428571400003,28.342857142899998,7.72857142857,32.8,24.4,15.8,9,27
1990,40,31.18,300.775714286,300.85,296.664285714,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.771428571399998,8.02857142857,33.3,23.9,11.7,10,42
1990,41,51.42,299.857142857,299.94285714299997,296.928571429,301.8,298.1,132.4,84.11,51.42,18.5128571429,2.5714285714300003,28.6285714286,7.314285714289999,33.3,24.4,57.7,10,33
1990,42,143.55,299.195714286,299.30714285700003,296.544285714,301.5,297.5,279.6,85.6214285714,143.55,18.1157142857,1.87142857143,27.6285714286,7.4,32.8,23.3,61.8,10,43
1990,43,127.03,298.902857143,299.042857143,296.257142857,300.9,297.2,94.52,85.5028571429,127.03,17.75,1.8,26.771428571399998,7.62857142857,32.2,21.7,91.5,10,37
1990,44,101.35,299.727142857,299.778571429,296.534285714,301.4,298.5,22.26,82.7871428571,101.35,18.0342857143,1.78571428571,27.971428571399997,8.64285714286,33.3,22.8,6.3,10,57
1990,45,20.46,299.972857143,300.035714286,296.564285714,302.2,298.5,14.4,81.7157142857,20.46,18.0742857143,2.38571428571,28.471428571399997,8.42857142857,33.3,23.9,6.6,11,71
1990,46,20.0,300.35,300.5,295.687142857,302.3,298.8,7.1,75.72857142859999,20.0,17.0857142857,2.2,27.5428571429,8.6,32.8,22.2,38.9,11,44
1990,47,20.04,299.511428571,299.635714286,295.375714286,301.6,297.0,36.7,78.1514285714,20.04,16.752857142899998,2.52857142857,26.8,7.414285714289999,31.7,22.2,9.6,11,56
1990,48,33.61,298.238571429,298.26428571400004,294.81142857099996,300.2,296.5,44.3,81.38571428569999,33.61,16.2085714286,1.98571428571,26.2,7.12857142857,31.1,20.6,26.7,11,53
1990,49,9.96,298.542857143,298.685714286,294.782857143,300.8,296.7,71.8,79.9085714286,9.96,16.161428571400002,2.05714285714,25.985714285700002,5.54285714286,29.4,22.2,69.0,12,52
1990,50,0.0,298.202857143,298.278571429,292.004285714,300.6,296.1,4.1,68.7228571429,0.0,13.6157142857,2.98571428571,24.6857142857,7.77142857143,29.4,19.4,2.8,12,47
1990,51,52.45,298.297142857,298.37857142900003,294.55857142900004,300.9,296.0,32.31,80.0828571429,52.45,15.954285714300001,2.87142857143,25.714285714299997,6.58571428571,30.6,21.1,19.8,12,26
1990,52,0.0,298.038571429,298.085714286,292.10571428599997,299.8,295.3,5.46,69.6814285714,0.0,13.6828571429,2.28571428571,25.157142857100002,5.84285714286,28.9,21.1,20.9,12,27
1991,1,0.0,297.06,297.135714286,291.907142857,299.0,293.9,4.8,72.9385714286,0.0,13.511428571400002,2.52857142857,24.3857142857,7.45714285714,29.4,18.9,5.3,1,21
1991,2,15.85,297.674285714,297.828571429,293.282857143,299.3,295.8,26.33,76.6285714286,15.85,14.671428571400002,1.88571428571,24.9142857143,6.31428571429,28.3,21.1,31.7,1,21
1991,3,0.0,297.422857143,297.657142857,293.412857143,299.3,296.1,27.4,78.5,0.0,14.798571428599999,2.0,25.2428571429,6.57142857143,29.4,21.1,16.5,1,26
1991,4,0.0,297.88428571400004,298.15,292.38285714299997,300.3,296.0,0.7,71.5971428571,0.0,13.878571428599999,2.55714285714,24.714285714299997,7.77142857143,29.4,18.3,6.8,1,34
1991,5,0.0,298.044285714,298.228571429,292.57285714299996,300.1,295.0,5.7,71.7842857143,0.0,14.0442857143,2.77142857143,24.8285714286,8.15714285714,30.0,18.9,5.9,1,37
1991,6,0.0,297.74,297.928571429,293.15,299.7,295.0,19.69,75.7942857143,0.0,14.541428571400001,2.42857142857,25.0571428571,6.885714285710001,30.0,20.6,7.3,2,17
1991,7,18.05,296.88428571400004,297.114285714,292.972857143,300.2,294.1,21.4,78.8957142857,18.05,14.46,3.2,25.1428571429,8.87142857143,32.2,18.9,5.6,2,19
1991,8,0.0,297.414285714,297.614285714,293.63142857099996,300.1,295.8,26.2,79.74,0.0,15.0357142857,2.5714285714300003,25.842857142899998,8.47142857143,32.2,20.0,17.8,2,25
1991,9,31.79,297.505714286,297.828571429,293.407142857,299.8,295.8,23.8,77.9771428571,31.79,14.7942857143,2.11428571429,25.2571428571,7.2,30.6,20.0,30.7,2,18
1991,10,0.0,297.777142857,298.078571429,293.531428571,300.3,296.4,8.3,77.3157142857,0.0,14.92,2.24285714286,26.014285714299998,8.31428571429,31.1,20.6,10.9,3,21
1991,11,0.0,297.43142857099997,297.635714286,293.335714286,300.1,295.7,13.37,78.1385714286,0.0,14.787142857100001,2.72857142857,25.9285714286,8.97142857143,31.7,20.6,3.6,3,17
1991,12,0.0,297.407142857,297.614285714,293.254285714,300.4,295.4,11.1,77.8828571429,0.0,14.7457142857,2.54285714286,26.0857142857,6.97142857143,32.2,21.1,5.7,3,17
1991,13,0.0,297.47,297.69285714299997,293.74,301.0,295.7,21.26,80.0014285714,0.0,15.148571428599999,2.75714285714,26.0571428571,6.58571428571,32.2,22.2,26.9,3,16
1991,14,12.92,297.064285714,297.185714286,292.48,299.4,295.4,20.9,75.6628571429,12.92,13.9914285714,2.28571428571,25.2428571429,6.81428571429,28.9,20.6,4.1,4,16
1991,15,6.0,297.372857143,297.657142857,293.61571428599996,299.2,295.9,19.78,79.6285714286,6.0,14.9928571429,2.62857142857,25.3,6.5142857142900015,28.9,21.1,18.8,4,15
1991,16,44.57,297.284285714,297.392857143,292.17,298.9,296.0,21.9,73.3514285714,44.57,13.7328571429,2.01428571429,25.514285714299998,6.27142857143,29.4,21.1,19.4,4,23
1991,17,32.72,298.07428571400004,298.23571428599996,294.028571429,299.6,296.7,19.7,78.4471428571,32.72,15.4614285714,2.3,26.528571428600006,8.014285714289999,32.8,21.7,3.5,4,16
1991,18,0.0,298.831428571,299.071428571,294.97,301.0,297.1,8.38,79.36,0.0,16.314285714300002,2.8,27.3142857143,7.714285714289999,32.2,22.8,2.8,4,17
1991,19,35.38,298.638571429,298.721428571,294.812857143,300.9,297.2,20.6,79.5414285714,35.38,16.185714285699998,2.41428571429,26.9285714286,6.92857142857,31.7,22.8,40.2,5,12
1991,20,4.16,298.325714286,298.407142857,294.61857142900004,300.1,296.6,35.37,80.0671428571,4.16,15.9742857143,2.5,26.528571428600006,6.58571428571,30.6,22.8,32.8,5,17
1991,21,51.16,298.58428571400003,298.457142857,295.124285714,300.4,297.0,59.3,81.30142857140001,51.16,16.5014285714,1.85714285714,27.3857142857,6.7,31.7,22.8,3.6,5,10
1991,22,55.37,298.80857142900004,298.885714286,295.27428571400003,301.1,297.3,43.4,81.08857142859999,55.37,16.6457142857,2.14285714286,27.9428571429,7.014285714289999,33.3,23.3,5.6,5,15
1991,23,8.08,299.518571429,299.75,294.92571428599996,301.6,297.4,5.0,76.0742857143,8.08,16.3242857143,2.87142857143,28.0714285714,7.5,33.3,23.3,20.6,6,19
1991,24,6.09,299.891428571,300.071428571,295.492857143,301.8,298.4,5.82,77.0357142857,6.09,16.8828571429,2.4,28.228571428600002,7.97142857143,33.9,23.9,9.4,6,21
1991,25,44.25,299.775714286,299.971428571,296.3,301.9,298.4,17.0,81.4214285714,44.25,17.7042857143,2.17142857143,28.9285714286,7.1428571428600005,33.9,25.0,3.3,6,14
1991,26,73.76,299.41,299.478571429,296.228571429,302.5,297.7,37.8,82.7457142857,73.76,17.628571428599997,2.04285714286,27.9142857143,7.4,32.8,22.8,12.4,6,18
1991,27,26.7,299.37142857099997,299.385714286,295.945714286,302.4,297.4,51.99,81.69428571430001,26.7,17.3528571429,2.14285714286,28.3714285714,6.6,32.8,23.9,24.7,7,13
1991,28,6.13,300.00142857099996,300.171428571,295.791428571,302.1,297.9,18.7,77.8771428571,6.13,17.1514285714,2.42857142857,28.4142857143,6.67142857143,32.8,24.4,4.6,7,14
1991,29,29.67,300.234285714,300.342857143,296.081428571,302.2,298.6,23.6,78.24142857140001,29.67,17.4728571429,2.42857142857,28.8,6.914285714289999,33.9,23.9,12.2,7,18
1991,30,56.58,299.80857142900004,299.978571429,296.332857143,302.1,298.2,27.4,81.4828571429,56.58,17.7342857143,2.24285714286,28.0,5.88571428571,32.8,24.4,43.1,7,23
1991,31,48.41,299.852857143,299.964285714,296.478571429,302.0,298.3,34.39,81.8971428571,48.41,17.878571428599997,2.3,28.5714285714,6.34285714286,33.3,25.0,18.0,7,25
1991,32,13.29,299.831428571,299.864285714,296.468571429,301.8,298.1,31.5,81.96,13.29,17.8957142857,2.24285714286,28.5,6.5142857142900015,32.8,24.4,12.5,8,62
1991,33,0.0,300.42,300.65,296.484285714,302.8,298.7,20.4,79.1971428571,0.0,17.911428571400002,2.18571428571,29.4285714286,5.47142857143,33.3,25.6,3.3,8,60
1991,34,51.88,300.31142857099996,300.385714286,296.581428571,302.6,298.3,25.47,80.2557142857,51.88,18.0114285714,2.4,29.271428571399998,7.514285714289999,34.4,24.4,1.5,8,76
1991,35,55.2,300.11714285700003,300.2,296.67,302.3,298.6,23.8,81.5942857143,55.2,18.0914285714,2.37142857143,28.157142857100002,7.0,32.2,23.9,10.7,8,66
1991,36,65.9,300.10571428599997,300.15,296.798571429,302.3,298.4,42.33,82.31,65.9,18.2628571429,2.12857142857,28.9428571429,7.54285714286,34.4,24.4,27.2,9,64
1991,37,33.56,300.54,300.635714286,296.451428571,302.8,298.7,11.4,78.6271428571,33.56,17.8957142857,3.04285714286,28.971428571399997,7.7,33.9,23.3,61.0,9,68
1991,38,29.53,300.527142857,300.6,296.901428571,303.0,298.8,28.8,80.8771428571,29.53,18.4,2.45714285714,28.9142857143,6.8,33.3,24.4,7.9,9,89
